"case_id","fault_terminal","component_type","supply_mode","current_level","service_years","vent_state","door_state","current_profile","ambient_temp","severity","seed"
"CASE_00001","KM1_DC","contactor_dc_terminal","DC","2.0","0.0","normal","closed","constant","26.0","0.75","1000"
"CASE_00002","KM1_DC","contactor_dc_terminal","DC","2.0","0.0","normal","closed","constant","26.0","0.75","2001"
"CASE_00003","KM1_DC","contactor_dc_terminal","DC","2.0","0.0","normal","closed","constant","26.0","0.75","3002"
"CASE_00004","KM1_DC","contactor_dc_terminal","DC","2.0","0.0","reduced","closed","constant","26.0","0.75","4000"
"CASE_00005","KM1_DC","contactor_dc_terminal","DC","2.0","0.0","reduced","closed","constant","26.0","0.75","5001"
"CASE_00006","KM1_DC","contactor_dc_terminal","DC","2.0","0.0","reduced","closed","constant","26.0","0.75","6002"
"CASE_00007","KM1_DC","contactor_dc_terminal","DC","2.0","0.0","forced","closed","constant","26.0","0.75","7000"
"CASE_00008","KM1_DC","contactor_dc_terminal","DC","2.0","0.0","forced","closed","constant","26.0","0.75","8001"
"CASE_00009","KM1_DC","contactor_dc_terminal","DC","2.0","0.0","forced","closed","constant","26.0","0.75","9002"
"CASE_00010","KM1_DC","contactor_dc_terminal","DC","2.0","0.0","off","closed","constant","26.0","0.75","10000"
"CASE_00011","KM1_DC","contactor_dc_terminal","DC","2.0","0.0","off","closed","constant","26.0","0.75","11001"
"CASE_00012","KM1_DC","contactor_dc_terminal","DC","2.0","0.0","off","closed","constant","26.0","0.75","12002"
"CASE_00013","KM1_DC","contactor_dc_terminal","DC","2.0","5.0","normal","closed","constant","26.0","0.75","13000"
"CASE_00014","KM1_DC","contactor_dc_terminal","DC","2.0","5.0","normal","closed","constant","26.0","0.75","14001"
"CASE_00015","KM1_DC","contactor_dc_terminal","DC","2.0","5.0","normal","closed","constant","26.0","0.75","15002"
"CASE_00016","KM1_DC","contactor_dc_terminal","DC","2.0","5.0","reduced","closed","constant","26.0","0.75","16000"
"CASE_00017","KM1_DC","contactor_dc_terminal","DC","2.0","5.0","reduced","closed","constant","26.0","0.75","17001"
"CASE_00018","KM1_DC","contactor_dc_terminal","DC","2.0","5.0","reduced","closed","constant","26.0","0.75","18002"
"CASE_00019","KM1_DC","contactor_dc_terminal","DC","2.0","5.0","forced","closed","constant","26.0","0.75","19000"
"CASE_00020","KM1_DC","contactor_dc_terminal","DC","2.0","5.0","forced","closed","constant","26.0","0.75","20001"
"CASE_00021","KM1_DC","contactor_dc_terminal","DC","2.0","5.0","forced","closed","constant","26.0","0.75","21002"
"CASE_00022","KM1_DC","contactor_dc_terminal","DC","2.0","5.0","off","closed","constant","26.0","0.75","22000"
"CASE_00023","KM1_DC","contactor_dc_terminal","DC","2.0","5.0","off","closed","constant","26.0","0.75","23001"
"CASE_00024","KM1_DC","contactor_dc_terminal","DC","2.0","5.0","off","closed","constant","26.0","0.75","24002"
"CASE_00025","KM1_DC","contactor_dc_terminal","DC","2.0","10.0","normal","closed","constant","26.0","0.75","25000"
"CASE_00026","KM1_DC","contactor_dc_terminal","DC","2.0","10.0","normal","closed","constant","26.0","0.75","26001"
"CASE_00027","KM1_DC","contactor_dc_terminal","DC","2.0","10.0","normal","closed","constant","26.0","0.75","27002"
"CASE_00028","KM1_DC","contactor_dc_terminal","DC","2.0","10.0","reduced","closed","constant","26.0","0.75","28000"
"CASE_00029","KM1_DC","contactor_dc_terminal","DC","2.0","10.0","reduced","closed","constant","26.0","0.75","29001"
"CASE_00030","KM1_DC","contactor_dc_terminal","DC","2.0","10.0","reduced","closed","constant","26.0","0.75","30002"
"CASE_00031","KM1_DC","contactor_dc_terminal","DC","2.0","10.0","forced","closed","constant","26.0","0.75","31000"
"CASE_00032","KM1_DC","contactor_dc_terminal","DC","2.0","10.0","forced","closed","constant","26.0","0.75","32001"
"CASE_00033","KM1_DC","contactor_dc_terminal","DC","2.0","10.0","forced","closed","constant","26.0","0.75","33002"
"CASE_00034","KM1_DC","contactor_dc_terminal","DC","2.0","10.0","off","closed","constant","26.0","0.75","34000"
"CASE_00035","KM1_DC","contactor_dc_terminal","DC","2.0","10.0","off","closed","constant","26.0","0.75","35001"
"CASE_00036","KM1_DC","contactor_dc_terminal","DC","2.0","10.0","off","closed","constant","26.0","0.75","36002"
"CASE_00037","KM1_DC","contactor_dc_terminal","DC","2.0","20.0","normal","closed","constant","26.0","0.75","37000"
"CASE_00038","KM1_DC","contactor_dc_terminal","DC","2.0","20.0","normal","closed","constant","26.0","0.75","38001"
"CASE_00039","KM1_DC","contactor_dc_terminal","DC","2.0","20.0","normal","closed","constant","26.0","0.75","39002"
"CASE_00040","KM1_DC","contactor_dc_terminal","DC","2.0","20.0","reduced","closed","constant","26.0","0.75","40000"
"CASE_00041","KM1_DC","contactor_dc_terminal","DC","2.0","20.0","reduced","closed","constant","26.0","0.75","41001"
"CASE_00042","KM1_DC","contactor_dc_terminal","DC","2.0","20.0","reduced","closed","constant","26.0","0.75","42002"
"CASE_00043","KM1_DC","contactor_dc_terminal","DC","2.0","20.0","forced","closed","constant","26.0","0.75","43000"
"CASE_00044","KM1_DC","contactor_dc_terminal","DC","2.0","20.0","forced","closed","constant","26.0","0.75","44001"
"CASE_00045","KM1_DC","contactor_dc_terminal","DC","2.0","20.0","forced","closed","constant","26.0","0.75","45002"
"CASE_00046","KM1_DC","contactor_dc_terminal","DC","2.0","20.0","off","closed","constant","26.0","0.75","46000"
"CASE_00047","KM1_DC","contactor_dc_terminal","DC","2.0","20.0","off","closed","constant","26.0","0.75","47001"
"CASE_00048","KM1_DC","contactor_dc_terminal","DC","2.0","20.0","off","closed","constant","26.0","0.75","48002"
"CASE_00049","KM1_DC","contactor_dc_terminal","DC","2.0","30.0","normal","closed","constant","26.0","0.75","49000"
"CASE_00050","KM1_DC","contactor_dc_terminal","DC","2.0","30.0","normal","closed","constant","26.0","0.75","50001"
"CASE_00051","KM1_DC","contactor_dc_terminal","DC","2.0","30.0","normal","closed","constant","26.0","0.75","51002"
"CASE_00052","KM1_DC","contactor_dc_terminal","DC","2.0","30.0","reduced","closed","constant","26.0","0.75","52000"
"CASE_00053","KM1_DC","contactor_dc_terminal","DC","2.0","30.0","reduced","closed","constant","26.0","0.75","53001"
"CASE_00054","KM1_DC","contactor_dc_terminal","DC","2.0","30.0","reduced","closed","constant","26.0","0.75","54002"
"CASE_00055","KM1_DC","contactor_dc_terminal","DC","2.0","30.0","forced","closed","constant","26.0","0.75","55000"
"CASE_00056","KM1_DC","contactor_dc_terminal","DC","2.0","30.0","forced","closed","constant","26.0","0.75","56001"
"CASE_00057","KM1_DC","contactor_dc_terminal","DC","2.0","30.0","forced","closed","constant","26.0","0.75","57002"
"CASE_00058","KM1_DC","contactor_dc_terminal","DC","2.0","30.0","off","closed","constant","26.0","0.75","58000"
"CASE_00059","KM1_DC","contactor_dc_terminal","DC","2.0","30.0","off","closed","constant","26.0","0.75","59001"
"CASE_00060","KM1_DC","contactor_dc_terminal","DC","2.0","30.0","off","closed","constant","26.0","0.75","60002"
"CASE_00061","KM1_DC","contactor_dc_terminal","DC","5.0","0.0","normal","closed","constant","26.0","0.75","61000"
"CASE_00062","KM1_DC","contactor_dc_terminal","DC","5.0","0.0","normal","closed","constant","26.0","0.75","62001"
"CASE_00063","KM1_DC","contactor_dc_terminal","DC","5.0","0.0","normal","closed","constant","26.0","0.75","63002"
"CASE_00064","KM1_DC","contactor_dc_terminal","DC","5.0","0.0","reduced","closed","constant","26.0","0.75","64000"
"CASE_00065","KM1_DC","contactor_dc_terminal","DC","5.0","0.0","reduced","closed","constant","26.0","0.75","65001"
"CASE_00066","KM1_DC","contactor_dc_terminal","DC","5.0","0.0","reduced","closed","constant","26.0","0.75","66002"
"CASE_00067","KM1_DC","contactor_dc_terminal","DC","5.0","0.0","forced","closed","constant","26.0","0.75","67000"
"CASE_00068","KM1_DC","contactor_dc_terminal","DC","5.0","0.0","forced","closed","constant","26.0","0.75","68001"
"CASE_00069","KM1_DC","contactor_dc_terminal","DC","5.0","0.0","forced","closed","constant","26.0","0.75","69002"
"CASE_00070","KM1_DC","contactor_dc_terminal","DC","5.0","0.0","off","closed","constant","26.0","0.75","70000"
"CASE_00071","KM1_DC","contactor_dc_terminal","DC","5.0","0.0","off","closed","constant","26.0","0.75","71001"
"CASE_00072","KM1_DC","contactor_dc_terminal","DC","5.0","0.0","off","closed","constant","26.0","0.75","72002"
"CASE_00073","KM1_DC","contactor_dc_terminal","DC","5.0","5.0","normal","closed","constant","26.0","0.75","73000"
"CASE_00074","KM1_DC","contactor_dc_terminal","DC","5.0","5.0","normal","closed","constant","26.0","0.75","74001"
"CASE_00075","KM1_DC","contactor_dc_terminal","DC","5.0","5.0","normal","closed","constant","26.0","0.75","75002"
"CASE_00076","KM1_DC","contactor_dc_terminal","DC","5.0","5.0","reduced","closed","constant","26.0","0.75","76000"
"CASE_00077","KM1_DC","contactor_dc_terminal","DC","5.0","5.0","reduced","closed","constant","26.0","0.75","77001"
"CASE_00078","KM1_DC","contactor_dc_terminal","DC","5.0","5.0","reduced","closed","constant","26.0","0.75","78002"
"CASE_00079","KM1_DC","contactor_dc_terminal","DC","5.0","5.0","forced","closed","constant","26.0","0.75","79000"
"CASE_00080","KM1_DC","contactor_dc_terminal","DC","5.0","5.0","forced","closed","constant","26.0","0.75","80001"
"CASE_00081","KM1_DC","contactor_dc_terminal","DC","5.0","5.0","forced","closed","constant","26.0","0.75","81002"
"CASE_00082","KM1_DC","contactor_dc_terminal","DC","5.0","5.0","off","closed","constant","26.0","0.75","82000"
"CASE_00083","KM1_DC","contactor_dc_terminal","DC","5.0","5.0","off","closed","constant","26.0","0.75","83001"
"CASE_00084","KM1_DC","contactor_dc_terminal","DC","5.0","5.0","off","closed","constant","26.0","0.75","84002"
"CASE_00085","KM1_DC","contactor_dc_terminal","DC","5.0","10.0","normal","closed","constant","26.0","0.75","85000"
"CASE_00086","KM1_DC","contactor_dc_terminal","DC","5.0","10.0","normal","closed","constant","26.0","0.75","86001"
"CASE_00087","KM1_DC","contactor_dc_terminal","DC","5.0","10.0","normal","closed","constant","26.0","0.75","87002"
"CASE_00088","KM1_DC","contactor_dc_terminal","DC","5.0","10.0","reduced","closed","constant","26.0","0.75","88000"
"CASE_00089","KM1_DC","contactor_dc_terminal","DC","5.0","10.0","reduced","closed","constant","26.0","0.75","89001"
"CASE_00090","KM1_DC","contactor_dc_terminal","DC","5.0","10.0","reduced","closed","constant","26.0","0.75","90002"
"CASE_00091","KM1_DC","contactor_dc_terminal","DC","5.0","10.0","forced","closed","constant","26.0","0.75","91000"
"CASE_00092","KM1_DC","contactor_dc_terminal","DC","5.0","10.0","forced","closed","constant","26.0","0.75","92001"
"CASE_00093","KM1_DC","contactor_dc_terminal","DC","5.0","10.0","forced","closed","constant","26.0","0.75","93002"
"CASE_00094","KM1_DC","contactor_dc_terminal","DC","5.0","10.0","off","closed","constant","26.0","0.75","94000"
"CASE_00095","KM1_DC","contactor_dc_terminal","DC","5.0","10.0","off","closed","constant","26.0","0.75","95001"
"CASE_00096","KM1_DC","contactor_dc_terminal","DC","5.0","10.0","off","closed","constant","26.0","0.75","96002"
"CASE_00097","KM1_DC","contactor_dc_terminal","DC","5.0","20.0","normal","closed","constant","26.0","0.75","97000"
"CASE_00098","KM1_DC","contactor_dc_terminal","DC","5.0","20.0","normal","closed","constant","26.0","0.75","98001"
"CASE_00099","KM1_DC","contactor_dc_terminal","DC","5.0","20.0","normal","closed","constant","26.0","0.75","99002"
"CASE_00100","KM1_DC","contactor_dc_terminal","DC","5.0","20.0","reduced","closed","constant","26.0","0.75","100000"
"CASE_00101","KM1_DC","contactor_dc_terminal","DC","5.0","20.0","reduced","closed","constant","26.0","0.75","101001"
"CASE_00102","KM1_DC","contactor_dc_terminal","DC","5.0","20.0","reduced","closed","constant","26.0","0.75","102002"
"CASE_00103","KM1_DC","contactor_dc_terminal","DC","5.0","20.0","forced","closed","constant","26.0","0.75","103000"
"CASE_00104","KM1_DC","contactor_dc_terminal","DC","5.0","20.0","forced","closed","constant","26.0","0.75","104001"
"CASE_00105","KM1_DC","contactor_dc_terminal","DC","5.0","20.0","forced","closed","constant","26.0","0.75","105002"
"CASE_00106","KM1_DC","contactor_dc_terminal","DC","5.0","20.0","off","closed","constant","26.0","0.75","106000"
"CASE_00107","KM1_DC","contactor_dc_terminal","DC","5.0","20.0","off","closed","constant","26.0","0.75","107001"
"CASE_00108","KM1_DC","contactor_dc_terminal","DC","5.0","20.0","off","closed","constant","26.0","0.75","108002"
"CASE_00109","KM1_DC","contactor_dc_terminal","DC","5.0","30.0","normal","closed","constant","26.0","0.75","109000"
"CASE_00110","KM1_DC","contactor_dc_terminal","DC","5.0","30.0","normal","closed","constant","26.0","0.75","110001"
"CASE_00111","KM1_DC","contactor_dc_terminal","DC","5.0","30.0","normal","closed","constant","26.0","0.75","111002"
"CASE_00112","KM1_DC","contactor_dc_terminal","DC","5.0","30.0","reduced","closed","constant","26.0","0.75","112000"
"CASE_00113","KM1_DC","contactor_dc_terminal","DC","5.0","30.0","reduced","closed","constant","26.0","0.75","113001"
"CASE_00114","KM1_DC","contactor_dc_terminal","DC","5.0","30.0","reduced","closed","constant","26.0","0.75","114002"
"CASE_00115","KM1_DC","contactor_dc_terminal","DC","5.0","30.0","forced","closed","constant","26.0","0.75","115000"
"CASE_00116","KM1_DC","contactor_dc_terminal","DC","5.0","30.0","forced","closed","constant","26.0","0.75","116001"
"CASE_00117","KM1_DC","contactor_dc_terminal","DC","5.0","30.0","forced","closed","constant","26.0","0.75","117002"
"CASE_00118","KM1_DC","contactor_dc_terminal","DC","5.0","30.0","off","closed","constant","26.0","0.75","118000"
"CASE_00119","KM1_DC","contactor_dc_terminal","DC","5.0","30.0","off","closed","constant","26.0","0.75","119001"
"CASE_00120","KM1_DC","contactor_dc_terminal","DC","5.0","30.0","off","closed","constant","26.0","0.75","120002"
"CASE_00121","KM1_DC","contactor_dc_terminal","DC","10.0","0.0","normal","closed","constant","26.0","0.75","121000"
"CASE_00122","KM1_DC","contactor_dc_terminal","DC","10.0","0.0","normal","closed","constant","26.0","0.75","122001"
"CASE_00123","KM1_DC","contactor_dc_terminal","DC","10.0","0.0","normal","closed","constant","26.0","0.75","123002"
"CASE_00124","KM1_DC","contactor_dc_terminal","DC","10.0","0.0","reduced","closed","constant","26.0","0.75","124000"
"CASE_00125","KM1_DC","contactor_dc_terminal","DC","10.0","0.0","reduced","closed","constant","26.0","0.75","125001"
"CASE_00126","KM1_DC","contactor_dc_terminal","DC","10.0","0.0","reduced","closed","constant","26.0","0.75","126002"
"CASE_00127","KM1_DC","contactor_dc_terminal","DC","10.0","0.0","forced","closed","constant","26.0","0.75","127000"
"CASE_00128","KM1_DC","contactor_dc_terminal","DC","10.0","0.0","forced","closed","constant","26.0","0.75","128001"
"CASE_00129","KM1_DC","contactor_dc_terminal","DC","10.0","0.0","forced","closed","constant","26.0","0.75","129002"
"CASE_00130","KM1_DC","contactor_dc_terminal","DC","10.0","0.0","off","closed","constant","26.0","0.75","130000"
"CASE_00131","KM1_DC","contactor_dc_terminal","DC","10.0","0.0","off","closed","constant","26.0","0.75","131001"
